resultId,raceId,position,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,driverAge,countryRankByChampionships,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank
7613,3,,4,0,2,35,5,11,252,1,33
7614,4,1,2,6,13,29,0,7,306,8,12
7615,4,2,2,8,17,22,1,8,212,34,4
7616,4,3,3,0,2,35,5,11,252,1,33
7617,4,4,4,5,14,24,0,7,222,40,1
7618,4,5,1,2,5,37,2,4,322,17,12
7619,4,6,0,1,5,30,4,0,285,46,0
7620,4,7,3,0,1,27,1,8,91,1,33
7621,4,8,3,5,11,28,6,6,305,23,6
7622,4,9,1,0,3,24,1,8,206,20,2
7623,4,10,1,0,0,24,2,4,28,0,6
7624,4,11,3,6,17,33,4,2,215,19,4
7625,4,12,4,0,0,28,4,0,111,2,1
7626,4,13,2,0,0,30,4,12,27,0,30
7627,4,14,2,0,6,28,2,4,269,15,0
7628,4,15,0,0,1,36,5,11,229,2,33
7629,4,16,5,0,0,26,1,8,128,1,33
7630,4,17,6,0,0,21,8,14,55,0,30
7631,4,18,1,0,4,25,8,14,76,1,25
7632,4,19,2,0,0,32,1,8,183,2,25
7633,4,,2,0,0,24,8,14,36,0,2
7634,5,1,2,5,12,29,0,7,306,8,12
7635,5,2,1,2,5,37,2,4,322,17,12
7636,5,3,3,6,17,33,4,2,215,19,4
7637,5,4,2,8,16,22,1,8,212,34,4
7638,5,5,3,5,11,28,6,6,305,23,6
7639,5,6,2,0,6,28,2,4,269,15,0
7640,5,7,2,0,0,32,1,8,183,2,25
7641,5,8,1,0,3,24,1,8,206,20,2
7642,5,9,4,5,14,24,0,7,222,40,1
7643,5,10,3,0,1,27,1,8,91,1,33
7644,5,11,1,0,4,25,8,14,76,1,25
7645,5,12,1,0,0,24,2,4,28,0,6
7646,5,13,2,0,0,24,8,14,36,0,2
7647,5,14,0,0,1,36,5,11,229,2,33
7648,5,,0,1,5,30,4,0,285,46,0
7649,5,,4,0,0,28,4,0,111,2,1
7650,5,,3,0,1,35,5,11,252,1,33
7651,5,,6,0,0,21,8,14,55,0,30
7652,5,,2,0,0,30,4,12,27,0,30
7653,5,,5,0,0,26,1,8,128,1,33
7654,6,1,2,4,11,29,0,7,306,8,12
7655,6,2,1,2,4,37,2,4,322,17,12
7656,6,3,0,1,5,30,4,0,285,46,0
7657,6,4,2,0,6,28,2,4,269,15,0
7658,6,5,3,6,16,33,4,2,215,19,4
7659,6,6,1,0,3,24,1,8,206,20,2
7660,6,7,3,5,11,28,6,6,305,23,6
7661,6,8,1,0,0,30,4,12,27,0,30
7662,6,9,0,0,1,36,5,11,229,2,33
7663,6,10,3,0,1,27,1,8,91,1,33
7664,6,11,2,0,0,32,1,8,183,2,25
7665,6,12,4,5,14,24,0,7,222,40,1
7666,6,13,2,0,1,35,5,11,252,1,33
7667,6,14,4,0,0,26,1,8,128,1,33
7668,6,15,2,0,0,24,8,14,36,0,2
7669,6,,4,0,0,28,4,0,111,2,1
7670,6,,1,0,4,25,8,14,76,1,25
7671,6,,2,8,16,22,1,8,212,34,4
7672,6,,1,0,0,24,2,4,28,0,6
7673,6,,5,0,0,21,8,14,55,0,30
7674,7,1,2,3,10,29,0,7,306,8,12
7675,7,2,3,6,16,33,4,2,215,19,4
7676,7,3,1,8,16,22,1,8,212,34,4
7677,7,4,2,0,1,35,5,11,252,1,33
7678,7,5,1,0,3,24,1,8,206,20,2
7679,7,6,2,0,6,28,2,4,269,15,0
7680,7,7,1,0,4,25,8,14,76,1,25
7681,7,8,3,0,1,27,1,8,91,1,33
7682,7,9,0,1,4,30,4,0,285,46,0
7683,7,10,3,5,11,28,6,6,305,23,6
7684,7,11,2,0,0,32,1,8,183,2,25
7685,7,12,1,0,0,24,8,14,36,0,2
7686,7,13,4,5,14,24,0,7,222,40,1
7687,7,14,3,0,0,28,4,0,111,2,1
7688,7,15,4,0,0,21,8,14,55,0,30
7689,7,16,0,0,0,24,2,4,28,0,6
7690,7,17,4,0,0,26,1,8,128,1,33
7691,7,18,1,0,0,30,4,12,27,0,30
7692,7,,1,2,3,37,2,4,322,17,12
7693,7,,0,0,1,36,5,11,229,2,33
7694,8,1,1,8,15,22,1,8,212,34,4
7695,8,2,3,6,15,33,4,2,215,19,4
7696,8,3,1,2,3,37,2,4,322,17,12
7697,8,4,2,0,6,28,2,4,269,15,0
7698,8,5,1,0,3,24,1,8,206,20,2
7699,8,6,2,2,9,29,0,7,306,8,12
7700,8,7,2,0,1,35,5,11,252,1,33
7701,8,8,0,1,4,30,4,0,285,46,0
7702,8,9,3,0,1,27,1,8,91,1,33
7703,8,10,0,0,1,36,5,11,229,2,33
7704,8,11,1,0,0,24,8,14,36,0,2
7705,8,12,0,0,0,24,2,4,28,0,6
7706,8,13,1,0,4,25,8,14,76,1,25
7707,8,14,3,5,11,28,6,6,305,23,6
7708,8,15,2,0,0,32,1,8,183,2,25
7709,8,16,4,5,14,24,0,7,222,40,1
7710,8,17,4,0,0,26,1,8,128,1,33
7711,8,18,4,0,0,21,8,14,55,0,30
7712,8,,1,0,0,30,4,12,27,0,30
7713,8,,3,0,0,28,4,0,111,2,1
7714,9,1,3,6,14,33,4,2,215,19,4
7715,9,2,1,7,14,22,1,8,212,34,4
7716,9,3,2,0,6,28,2,4,269,15,0
7717,9,4,1,0,3,24,1,8,206,20,2
7718,9,5,2,2,9,29,0,7,306,8,12
7719,9,6,1,2,2,37,2,4,322,17,12
7720,9,7,3,5,11,28,6,6,305,23,6
7721,9,8,2,0,0,28,4,0,111,2,1
7722,9,9,3,0,1,27,1,8,91,1,33
7723,9,10,2,0,0,32,1,8,183,2,25
7724,9,11,0,0,1,36,5,11,229,2,33
7725,9,12,1,0,0,24,8,14,36,0,2
7726,9,13,0,0,0,24,2,4,28,0,6
7727,9,14,1,0,4,25,8,14,76,1,25
7728,9,15,4,0,0,26,1,8,128,1,33
7729,9,16,4,0,0,21,8,14,55,0,30
7730,9,17,2,0,1,35,5,11,252,1,33
7731,9,18,4,5,14,24,0,7,222,40,1
7732,9,,0,1,4,30,4,0,285,46,0
7733,9,,0,0,0,30,4,12,27,0,30
7734,10,1,4,5,14,24,0,7,222,40,1
7735,10,2,0,1,4,30,4,0,285,46,0
7736,10,3,3,5,13,33,4,2,215,19,4
7737,10,4,1,0,3,24,1,8,206,20,2
