resultId,raceId,position,grid,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,countryRankByChampionships,allTimeStarts,allTimefastestLap,constructorRank,driverTop100,countryTop38
20344,337,,16,4,0,0,8,75,1,33,70,22
20345,337,,22,1,0,0,2,18,0,33,101,4
20346,337,,24,2,0,0,8,11,0,33,101,31
20347,338,1,4,1,2,7,0,306,8,1,7,1
20348,338,2,9,1,0,3,8,76,1,6,36,21
20349,338,3,5,1,0,4,2,269,15,0,8,4
20350,338,4,3,1,4,9,6,305,23,0,3,7
20351,338,5,6,1,0,3,1,206,20,3,5,2
20352,338,6,11,2,3,8,0,222,40,1,1,1
20353,338,7,13,5,0,0,5,80,0,33,101,8
20354,338,8,8,1,0,0,2,322,17,2,13,4
20355,338,9,2,2,4,10,4,215,19,4,9,6
20356,338,10,7,1,0,0,1,306,77,3,6,2
20357,338,11,17,0,0,0,6,46,0,30,101,7
20358,338,12,14,2,0,0,6,104,1,33,101,7
20359,338,13,19,2,0,0,4,111,2,33,77,3
20360,338,14,22,1,0,0,8,11,0,33,101,31
20361,338,,23,2,0,0,1,91,1,33,101,2
20362,338,,24,1,0,0,2,18,0,33,101,4
20363,338,,1,1,5,10,1,212,34,4,2,2
20364,338,,10,2,0,0,1,128,1,33,71,2
20365,338,,18,3,0,0,8,57,1,6,98,39
20366,338,,21,4,0,0,2,46,1,33,101,4
20367,338,,12,4,0,0,8,55,0,30,101,18
20368,338,,15,3,0,0,1,149,2,2,101,2
20369,338,,16,4,0,0,8,75,1,33,70,22
20370,338,,20,1,0,0,5,252,1,33,41,8
20371,339,1,3,1,5,10,1,212,34,4,2,2
20372,339,2,1,2,4,10,4,215,19,4,9,6
20373,339,3,2,1,0,3,1,206,20,3,5,2
20374,339,4,6,1,0,2,8,76,1,6,36,21
20375,339,5,4,2,0,0,1,128,1,33,71,2
20376,339,6,20,2,3,8,0,222,40,1,1,1
20377,339,7,21,1,0,3,2,269,15,0,8,4
20378,339,8,17,1,1,6,0,306,8,1,7,1
20379,339,9,14,0,0,0,6,46,0,30,101,7
20380,339,10,5,2,0,0,1,149,2,2,101,2
20381,339,11,13,3,0,0,8,55,0,30,101,18
20382,339,12,7,1,0,0,2,322,17,2,13,4
20383,339,13,19,1,4,9,6,305,23,0,3,7
20384,339,14,24,1,0,0,2,18,0,33,101,4
20385,339,15,22,1,0,0,8,11,0,33,101,31
20386,339,16,23,4,0,0,2,46,1,33,101,4
20387,339,17,18,1,0,0,5,252,1,33,41,8
20388,339,,15,2,0,0,4,111,2,33,77,3
20389,339,,11,2,0,0,8,57,1,6,98,39
20390,339,,10,5,0,0,5,80,0,33,101,8
20391,339,,8,1,0,0,1,306,77,3,6,2
20392,339,,9,3,0,0,8,75,1,33,70,22
20393,339,,16,2,0,0,1,91,1,33,101,2
20394,339,,12,2,0,0,6,104,1,33,101,7
20395,340,1,5,1,1,6,0,306,8,1,7,1
20396,340,2,6,2,3,8,0,222,40,1,1,1
20397,340,3,4,1,0,2,1,206,20,3,5,2
20398,340,4,3,1,4,9,6,305,23,0,3,7
20399,340,5,8,1,0,2,8,76,1,6,36,21
20400,340,6,1,1,4,9,1,212,34,4,2,2
20401,340,7,14,2,0,0,8,57,1,6,98,39
20402,340,8,2,2,4,9,4,215,19,4,9,6
20403,340,9,7,1,0,3,2,269,15,0,8,4
20404,340,10,9,1,0,0,1,306,77,3,6,2
20405,340,11,10,2,0,0,1,128,1,33,71,2
20406,340,12,11,1,0,0,2,322,17,2,13,4
20407,340,13,12,0,0,0,6,46,0,30,101,7
20408,340,14,21,2,0,0,4,111,2,33,77,3
20409,340,15,16,2,0,0,1,149,2,2,101,2
20410,340,16,23,4,0,0,2,46,1,33,101,4
20411,340,17,24,1,0,0,8,11,0,33,101,31
20412,340,,20,1,0,0,5,252,1,33,41,8
20413,340,,22,1,0,0,2,18,0,33,101,4
20414,340,,17,2,0,0,6,104,1,33,101,7
20415,340,,13,3,0,0,8,55,0,30,101,18
20416,340,,15,3,0,0,8,75,1,33,70,22
20417,340,,18,5,0,0,5,80,0,33,101,8
20418,340,,19,1,0,0,1,91,1,33,101,2
20419,341,1,1,2,4,9,4,215,19,4,9,6
20420,341,2,4,1,4,9,6,305,23,0,3,7
20421,341,3,2,1,4,9,1,212,34,4,2,2
20422,341,4,6,1,0,0,1,306,77,3,6,2
20423,341,5,5,1,0,5,0,306,8,1,7,1
20424,341,6,9,1,0,3,2,269,15,0,8,4
20425,341,7,11,2,0,0,1,128,1,33,71,2
20426,341,8,7,1,0,2,8,76,1,6,36,21
20427,341,9,17,1,0,0,2,322,17,2,13,4
20428,341,10,15,0,0,0,6,46,0,30,101,7
20429,341,11,19,2,0,0,8,57,1,6,98,39
20430,341,12,10,2,0,0,8,75,1,33,70,22
20431,341,13,8,1,0,1,1,206,20,3,5,2
20432,341,14,3,2,3,7,0,222,40,1,1,1
20433,341,15,16,4,0,0,5,80,0,33,101,8
20434,341,16,13,2,0,0,1,149,2,2,101,2
20435,341,17,18,1,0,0,5,252,1,33,41,8
20436,341,18,22,1,0,0,1,91,1,33,101,2
20437,341,19,23,1,0,0,2,18,0,33,101,4
20438,341,,14,2,0,0,8,55,0,30,101,18
20439,341,,24,1,0,0,8,11,0,33,101,31
20440,341,,12,2,0,0,6,104,1,33,101,7
20441,341,,21,4,0,0,2,46,1,33,101,4
20442,341,,20,2,0,0,4,111,2,33,77,3
20443,342,1,1,2,3,8,4,215,19,4,9,6
20444,342,2,3,1,4,8,1,212,34,4,2,2
20445,342,3,2,1,0,2,8,76,1,6,36,21
20446,342,4,4,1,0,3,2,269,15,0,8,4
20447,342,5,5,2,3,7,0,222,40,1,1,1
20448,342,6,24,1,4,8,6,305,23,0,3,7
20449,342,7,6,1,0,1,1,206,20,3,5,2
20450,342,8,12,2,0,0,1,128,1,33,71,2
20451,342,9,10,4,0,0,5,80,0,33,101,8
20452,342,10,13,2,0,0,8,55,0,30,101,18
20453,342,11,17,0,0,0,6,46,0,30,101,7
20454,342,12,7,1,0,0,1,306,77,3,6,2
20455,342,13,14,2,0,0,8,57,1,6,98,39
20456,342,14,23,1,0,0,8,11,0,33,101,31
20457,342,15,19,1,0,0,5,252,1,33,41,8
20458,342,,18,2,0,0,4,111,2,33,77,3
20459,342,,22,3,0,0,2,46,1,33,101,4
20460,342,,9,1,0,0,2,322,17,2,13,4
20461,342,,16,2,0,0,8,75,1,33,70,22
20462,342,,21,1,0,0,2,18,0,33,101,4
20463,342,,20,1,0,0,1,91,1,33,101,2
20464,342,,15,1,0,0,6,104,1,33,101,7
20465,342,,8,1,0,5,0,306,8,1,7,1
20466,342,,11,2,0,0,1,149,2,2,101,2
20467,343,1,2,2,3,7,0,222,40,1,1,1
20468,343,2,4,1,0,5,0,306,8,1,7,1
20469,343,3,1,2,2,7,4,215,19,4,9,6
20470,343,4,5,1,0,0,1,306,77,3,6,2
20471,343,5,6,1,0,1,1,206,20,3,5,2
20472,343,6,7,1,0,1,8,76,1,6,36,21
20473,343,7,8,1,0,3,2,269,15,0,8,4
20474,343,8,12,1,4,8,6,305,23,0,3,7
20475,343,9,11,2,0,0,1,128,1,33,71,2
20476,343,10,10,2,0,0,8,75,1,33,70,22
20477,343,11,13,1,0,0,6,104,1,33,101,7
20478,343,12,16,0,0,0,6,46,0,30,101,7
20479,343,13,18,4,0,0,5,80,0,33,101,8
20480,343,14,15,1,0,0,2,322,17,2,13,4
20481,343,15,9,2,0,0,8,57,1,6,98,39
20482,343,16,14,2,0,0,8,55,0,30,101,18
20483,343,17,17,2,0,0,1,149,2,2,101,2
20484,343,18,21,1,0,0,1,91,1,33,101,2
20485,343,19,23,1,0,0,2,18,0,33,101,4
20486,343,20,24,0,0,0,8,11,0,33,101,31
20487,343,,22,3,0,0,2,46,1,33,101,4
20488,343,,3,1,4,7,1,212,34,4,2,2
20489,343,,20,2,0,0,4,111,2,33,77,3
20490,343,,19,0,0,0,5,252,1,33,41,8
20491,344,1,1,2,2,6,0,222,40,1,1,1
20492,344,2,4,1,0,4,0,306,8,1,7,1
20493,344,3,3,1,4,8,6,305,23,0,3,7
20494,344,4,2,0,4,7,1,212,34,4,2,2
20495,344,5,7,2,2,6,4,215,19,4,9,6
20496,344,6,10,1,0,1,1,206,20,3,5,2
20497,344,7,8,1,0,1,8,76,1,6,36,21
20498,344,8,15,2,0,0,8,55,0,30,101,18
20499,344,9,5,4,0,0,5,80,0,33,101,8
20500,344,10,9,2,0,0,1,128,1,33,71,2
20501,344,11,13,1,0,0,1,306,77,3,6,2
20502,344,12,16,0,0,0,6,46,0,30,101,7
20503,344,13,12,2,0,0,1,149,2,2,101,2
20504,344,14,11,1,0,0,2,322,17,2,13,4
20505,344,15,6,1,0,3,2,269,15,0,8,4
20506,344,16,19,2,0,0,4,111,2,33,77,3
20507,344,17,14,2,0,0,8,57,1,6,98,39
20508,344,18,24,0,0,0,8,11,0,33,101,31
20509,344,19,23,1,0,0,2,18,0,33,101,4
20510,344,,21,1,0,0,1,91,1,33,101,2
20511,344,,20,0,0,0,5,252,1,33,41,8
20512,344,,17,1,0,0,6,104,1,33,101,7
20513,344,,22,3,0,0,2,46,1,33,101,4
20514,344,,18,2,0,0,8,75,1,33,70,22
20515,345,1,1,0,4,7,1,212,34,4,2,2
20516,345,2,3,2,1,5,0,222,40,1,1,1
20517,345,3,7,1,0,3,0,306,8,1,7,1
20518,345,4,9,1,0,0,2,322,17,2,13,4
20519,345,5,6,1,0,1,8,76,1,6,36,21
20520,345,6,13,2,0,0,1,128,1,33,71,2
20521,345,7,18,1,0,0,8,75,1,33,70,22
20522,345,8,4,1,4,7,6,305,23,0,3,7
20523,345,9,11,2,0,0,8,55,0,30,101,18
20524,345,10,12,1,0,1,1,206,20,3,5,2
20525,345,11,5,1,0,3,2,269,15,0,8,4
20526,345,12,16,1,0,0,6,104,1,33,101,7
20527,345,13,17,0,0,0,6,46,0,30,101,7
20528,345,14,10,2,0,0,8,57,1,6,98,39
20529,345,15,15,1,0,0,1,306,77,3,6,2
20530,345,16,14,4,0,0,5,80,0,33,101,8
20531,345,17,21,1,0,0,2,18,0,33,101,4
20532,345,18,23,0,0,0,8,11,0,33,101,31
20533,345,19,22,1,0,0,1,91,1,33,101,2
20534,345,20,24,3,0,0,2,46,1,33,101,4
20535,345,21,19,0,0,0,5,252,1,33,41,8
20536,345,,8,2,0,0,1,149,2,2,101,2
20537,345,,20,2,0,0,4,111,2,33,77,3
20538,345,,2,2,2,6,4,215,19,4,9,6
20539,346,1,2,1,2,6,4,215,19,4,9,6
20540,346,2,4,2,1,4,0,222,40,1,1,1
20541,346,3,5,1,0,1,1,206,20,3,5,2
20542,346,4,14,1,0,2,0,306,8,1,7,1
20543,346,5,8,1,0,0,2,322,17,2,13,4
20544,346,6,12,1,0,0,8,75,1,33,70,22
20545,346,7,1,0,3,6,1,212,34,4,2,2
20546,346,8,11,2,0,0,1,128,1,33,71,2
20547,346,9,10,1,0,0,1,306,77,3,6,2
20548,346,10,13,1,0,0,1,149,2,2,101,2
20549,346,11,20,4,0,0,5,80,0,33,101,8
20550,346,12,16,2,0,0,8,55,0,30,101,18
20551,346,13,15,2,0,0,8,57,1,6,98,39
20552,346,14,3,1,4,7,6,305,23,0,3,7
20553,346,15,7,1,0,3,2,269,15,0,8,4
20554,346,16,21,0,0,0,5,252,1,33,41,8
20555,346,17,18,1,0,0,4,111,2,33,77,3
20556,346,18,19,1,0,0,1,91,1,33,101,2
20557,346,19,23,0,0,0,8,11,0,33,101,31
20558,346,20,24,0,0,0,8,21,0,33,101,22
20559,346,,17,0,0,0,6,46,0,30,101,7
20560,346,,9,1,0,0,6,104,1,33,101,7
20561,346,,6,1,0,1,8,76,1,6,36,21
20562,346,,22,1,0,0,2,18,0,33,101,4
20563,347,1,2,1,4,7,6,305,23,0,3,7
20564,347,2,3,1,0,3,2,269,15,0,8,4
20565,347,3,1,0,3,6,1,212,34,4,2,2
20566,347,4,6,2,1,3,0,222,40,1,1,1
20567,347,5,5,1,0,2,0,306,8,1,7,1
20568,347,6,4,1,1,5,4,215,19,4,9,6
20569,347,7,7,1,0,1,8,76,1,6,36,21
20570,347,8,9,1,0,0,1,206,20,3,5,2
20571,347,9,11,1,0,0,1,306,77,3,6,2
20572,347,10,13,2,0,0,8,57,1,6,98,39
20573,347,11,12,1,0,0,8,75,1,33,70,22
20574,347,12,8,1,0,0,2,322,17,2,13,4
20575,347,13,10,1,0,0,1,149,2,2,101,2
20576,347,14,14,0,0,0,6,104,1,33,101,7
20577,347,15,15,0,0,0,6,46,0,30,101,7
20578,347,16,21,4,0,0,5,80,0,33,101,8
20579,347,17,19,2,0,0,1,128,1,33,71,2
20580,347,18,23,1,0,0,1,91,1,33,101,2
20581,347,19,20,3,0,0,2,46,1,33,101,4
20582,347,,18,1,0,0,4,111,2,33,77,3
20583,347,,24,1,0,0,2,18,0,33,101,4
